# Originator: me
# Number of profiles: 36
# Creation time: Fri Oct 11 09:49:55 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1369009219.29693604    46.27799988    14.18719959   132.91999817    -0.52383131     0.00046503     0.44450810              0
1369009221.29633284    46.27870083    14.18750000   133.50000381    -0.52465185     0.00210611     0.43616659              0
1369009223.29633284    46.27530098    14.18480015   134.06999588    -0.52468411     0.00388667     0.43179609              0
1369009225.30178833    46.26910210    14.17899990   134.65000153    -0.52042165     0.00644414     0.44902034              0
1369009227.30155134    46.26619816    14.17650032   135.22000313    -0.51650012     0.00884400     0.46556875              0
1369009229.29797363    46.25939846    14.16959953   135.79999924    -0.51485048     0.01049363     0.48209950              0
1369009231.35079956    46.25490189    14.16559982   136.35999680    -0.51322236     0.01212173     0.49841461              0
1369009233.36993408    46.24589920    14.15919971   136.92999840    -0.51235149     0.01144201     0.50671053              0
1369009235.42477417    46.22789860    14.14299965   137.50000000    -0.51149848     0.01058901     0.51478428              0
1369009237.29910278    46.22290134    14.13770008   138.05999756    -0.51238849     0.01047198     0.49125196              0
1369009239.29779053    46.21960163    14.13459969   138.62000465    -0.51402502     0.01047198     0.45120957              0
1369009241.29437971    46.19989872    14.11979961   139.18000221    -0.51746982     0.00960608     0.42705886              0
1369009243.29571533    46.18680000    14.10599995   139.75000381    -0.52297628     0.00777060     0.41980117              0
1369009245.30042219    46.17859840    14.09990025   140.31999588    -0.52324247     0.00638084     0.42077100              0
1369009247.30670166    46.13999844    14.06789970   140.90000153    -0.51681133     0.00454338     0.43328870              0
1369009249.30197144    46.11619949    14.04269981   141.47000313    -0.51328326     0.00286479     0.44388399              0
1369009251.30557966    46.10879898    14.03579998   142.03000069    -0.51420374    -0.00081710     0.46402474              0
1369009253.41784668    46.10559940    14.03320026   142.58999825    -0.51636599    -0.00498452     0.47194230              0
1369009255.29660034    46.10439777    14.03289986   143.14999580    -0.52050783    -0.00912634     0.45334546              0
1369009257.35922956    46.10189915    14.03090000   143.71000290    -0.52009107    -0.01344763     0.44027910              0
1369009259.29724836    46.09320164    14.02480030   144.28999901    -0.48744394    -0.01024693     0.49402925              0
1369009261.29636335    46.06949806    14.00489998   144.84999657    -0.44737479    -0.00631858     0.55999900              0
1369009263.30187988    46.04310036    13.97920036   145.36999702    -0.28554461    -0.00413935     0.47246945              0
1369009265.29681396    46.03209972    13.96850014   145.76000214    -0.06753134    -0.00255380     0.31963106              0
1369009267.30670166    46.02260113    13.96010017   145.93000412     0.12341531    -0.00060013     0.24432288              0
1369009269.31774902    46.01960182    13.95750046   145.86000443     0.29146643     0.00181209     0.24984968              0
1369009271.41324568    46.02749825    13.96520042   145.64999580     0.39947693     0.00349066     0.24478479              1
1369009273.30136824    46.03290081    13.97159958   145.38000107     0.38019457     0.00349066     0.22554415              1
1369009275.31378174    46.03730202    13.97430038   145.13999939     0.35452617     0.00349066     0.19993128              1
1369009277.30166626    46.04489803    13.98270035   144.94000435     0.34633627     0.00115807     0.21827957              1
