# Originator: Lucas Merckelbach
# Dataset: German Bight filtered T and C
# Number of profiles: 36
# Creation time: Wed Oct 23 15:44:58 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1376311035.64282227    40.13121746    14.08544947    32.10000038     0.35279020    -0.04403476     0.21945453              1
1376311037.63950300    40.13054562    14.08519692    31.84999943     0.36893791    -0.02821709     0.25057263              1
1376311039.63840437    40.12937555    14.08456674    31.57000065     0.38588753    -0.01046036     0.29470460              1
1376311041.63745832    40.12898942    14.08425714    31.25000000     0.39243241    -0.00246774     0.34429525              1
1376311043.63360596    40.12903294    14.08378667    30.95000029     0.39661528     0.00338829     0.39741694              1
1376311045.64325666    40.12919132    14.08379778    30.63999891     0.38986615    -0.00767427     0.38377397              1
1376311047.63696289    40.13036914    14.08561414    30.28000116     0.37779492    -0.02698823     0.33828907              1
1376311049.69846296    40.13090407    14.08615065    29.96000051     0.37805290    -0.03287325     0.32505616              1
1376311051.63479614    40.13064527    14.08581259    29.69000101     0.38707189    -0.02746185     0.33869730              1
1376311053.64486694    40.13086958    14.08635064    29.36000109     0.39553371    -0.02142422     0.35832802              1
1376311055.64370728    40.13107627    14.08664546    28.98000002     0.37132898    -0.02626517     0.39058549              1
1376311057.63748884    40.13127826    14.08723999    28.65999937     0.34728997    -0.03107297     0.42262211              1
1376311059.63535261    40.13327305    14.08935825    28.36999893     0.34943408    -0.02292636     0.39044550              1
1376311061.64237165    40.13556364    14.09323346    28.12000036     0.35343926    -0.01411498     0.35467725              1
1376311063.64325666    40.13445347    14.09265646    27.88000107     0.37708991    -0.01728132     0.32790344              1
1376311065.63964844    40.13283781    14.08940162    27.53999949     0.40714218    -0.02395960     0.30275376              1
1376311067.63858747    40.13390828    14.09146786    27.19000101     0.41448787    -0.02988408     0.32730247              1
1376311069.63556623    40.13489143    14.09487093    26.84000015     0.41047460    -0.03550265     0.37722183              1
1376311071.63385010    40.13537433    14.09502235    26.47000074     0.39938171    -0.03772035     0.40478706              1
1376311073.63623762    40.13627204    14.09559450    26.11000061     0.36807011    -0.03537197     0.41119702              1
1376311075.65274048    40.13665874    14.09648543    25.79999924     0.33919372    -0.03316126     0.41430420              1
1376311077.64356184    40.13690884    14.09653992    25.46000004     0.34995950    -0.03316126     0.36177106              1
1376311079.66113281    40.13719580    14.09726557    25.16999960     0.36040981    -0.03316126     0.31077730              1
1376311081.63846540    40.13749262    14.09796957    24.90000010     0.37854897    -0.02884480     0.32833512              1
1376311083.63556623    40.13749859    14.09820618    24.57999945     0.39807961    -0.02396214     0.35301669              1
1376311085.64435530    40.13698659    14.09761004    24.21999931     0.39731157    -0.01917358     0.35532191              1
1376311087.64193726    40.13607936    14.09633546    23.91999960     0.38896946    -0.01416832     0.34944346              1
1376311089.64105225    40.13602028    14.09651652    23.59999895     0.38094297    -0.00935242     0.34297560              1
1376311091.64590454    40.13611454    14.09705104    23.23999882     0.37289773    -0.00452528     0.33593849              1
1376311093.67111206    40.13507762    14.09553069    22.90999889     0.36963801    -0.00826964     0.34993688              1
1376311095.68823957    40.13516731    14.09546253    22.60999918     0.37285696    -0.02355970     0.39224047              1
1376311097.75846052    40.14010006    14.10372334    22.26000071     0.37479828    -0.03199784     0.41776622              1
1376311099.64124250    40.14574214    14.11332543    21.90999985     0.37358562    -0.02411554     0.40186443              1
1376311101.63858747    40.14677336    14.11516072    21.60000086     0.37197865    -0.01367026     0.38079209              1
1376311103.63730574    40.14627862    14.11397007    21.31000042     0.37391974    -0.02015421     0.37962638              1
